SKU,year,month,plan,back_bonus
10290,2018,2,20.0,120000
10290,2018,3,60.0,140000
10290,2018,4,70.0,140000
10290,2018,5,60.0,140000
10290,2018,6,60.0,40000
10290,2018,7,60.0,40000
10290,2018,8,60.0,160000
10290,2018,9,60.0,60000
10290,2018,10,70.0,160000
10290,2018,11,60.0,200000
10290,2018,12,60.0,40000
10837,2018,5,40.0,140000
10837,2018,6,90.0,180000
10837,2018,7,100.0,140000
10837,2018,8,80.0,80000
10837,2018,9,100.0,100000
10837,2018,10,100.0,100000
10837,2018,11,90.0,100000
10837,2018,12,100.0,160000
10887,2018,4,60.0,120000
10887,2018,5,180.0,80000
10887,2018,6,150.0,80000
10887,2018,7,150.0,120000
10887,2018,8,160.0,200000
10887,2018,9,150.0,60000
10887,2018,10,160.0,60000
10887,2018,11,150.0,100000
10887,2018,12,180.0,40000
10973,2018,9,50.0,200000
10973,2018,10,90.0,40000
10973,2018,11,90.0,80000
10973,2018,12,100.0,60000
11179,2018,10,20.0,120000
11179,2018,11,80.0,180000
11179,2018,12,90.0,120000
11189,2018,12,190.0,60000
11318,2018,1,0.0,160000
11318,2018,2,80.0,80000
11318,2018,3,100.0,160000
11318,2018,4,100.0,180000
11318,2018,5,100.0,80000
11318,2018,6,100.0,100000
11318,2018,7,90.0,200000
11318,2018,8,80.0,80000
11318,2018,9,90.0,40000
11318,2018,10,90.0,160000
11318,2018,11,90.0,160000
11318,2018,12,90.0,180000
11379,2018,9,50.0,160000
11379,2018,10,90.0,140000
11379,2018,11,90.0,100000
11379,2018,12,140.0,180000
11582,2018,1,0.0,160000
11582,2018,2,30.0,100000
11582,2018,3,30.0,100000
11582,2018,4,20.0,100000
11582,2018,5,30.0,80000
11582,2018,6,30.0,120000
11582,2018,7,30.0,60000
11582,2018,8,40.0,100000
11582,2018,9,40.0,200000
11582,2018,10,30.0,140000
11582,2018,11,30.0,160000
11582,2018,12,40.0,40000
11599,2018,11,40.0,40000
11599,2018,12,190.0,180000
11659,2018,3,110.0,80000
11659,2018,4,140.0,200000
11666,2018,1,20.0,100000
11666,2018,2,40.0,180000
11666,2018,3,30.0,140000
11666,2018,4,30.0,180000
11666,2018,5,30.0,180000
11666,2018,6,30.0,140000
11666,2018,7,20.0,120000
11666,2018,8,30.0,80000
11666,2018,9,30.0,80000
11666,2018,10,30.0,120000
11666,2018,11,20.0,40000
11666,2018,12,30.0,180000
11799,2018,5,40.0,180000
11799,2018,6,170.0,200000
11799,2018,7,170.0,180000
11799,2018,8,190.0,160000
11799,2018,9,170.0,140000
11799,2018,10,180.0,100000
11799,2018,11,160.0,180000
11799,2018,12,180.0,100000
11826,2018,11,90.0,60000
11826,2018,12,220.0,160000
11838,2018,7,50.0,120000
11838,2018,8,70.0,120000
11838,2018,9,60.0,40000
11838,2018,10,60.0,160000
11838,2018,11,70.0,140000
11838,2018,12,60.0,80000
11848,2018,10,10.0,100000
11848,2018,11,90.0,40000
11848,2018,12,130.0,160000
11952,2018,5,30.0,40000
11952,2018,6,120.0,120000
11952,2018,7,130.0,80000
11952,2018,8,130.0,200000
11952,2018,9,120.0,40000
11952,2018,10,120.0,100000
11952,2018,11,110.0,160000
11952,2018,12,120.0,80000
12007,2018,3,50.0,120000
12007,2018,4,90.0,80000
12007,2018,5,80.0,60000
12007,2018,6,100.0,100000
12007,2018,7,80.0,80000
12007,2018,8,100.0,60000
12007,2018,9,80.0,140000
12007,2018,10,90.0,180000
12007,2018,11,100.0,100000
12007,2018,12,120.0,200000
12634,2018,8,120.0,200000
12634,2018,9,120.0,60000
12634,2018,10,120.0,180000
12634,2018,11,140.0,160000
12634,2018,12,100.0,200000
12938,2018,8,140.0,40000
12938,2018,9,180.0,180000
12938,2018,10,180.0,60000
12938,2018,11,180.0,160000
12938,2018,12,220.0,80000
12966,2018,2,70.0,180000
12966,2018,3,90.0,200000
12966,2018,4,80.0,160000
12966,2018,5,90.0,160000
12966,2018,6,80.0,120000
12966,2018,7,100.0,80000
12966,2018,8,100.0,60000
12966,2018,9,80.0,60000
12966,2018,10,90.0,140000
12966,2018,11,90.0,40000
12966,2018,12,100.0,140000
12997,2018,9,90.0,160000
12997,2018,10,120.0,80000
12997,2018,11,120.0,80000
12997,2018,12,120.0,200000
13316,2018,11,80.0,60000
13316,2018,12,130.0,120000
13338,2018,9,30.0,200000
13338,2018,10,30.0,100000
13338,2018,11,40.0,60000
13338,2018,12,30.0,80000
13453,2018,4,100.0,180000
13453,2018,5,160.0,140000
13453,2018,6,120.0,40000
13453,2018,7,120.0,60000
13453,2018,8,130.0,100000
13453,2018,9,130.0,200000
13453,2018,10,120.0,120000
13453,2018,11,110.0,60000
13453,2018,12,160.0,60000
14062,2018,9,70.0,60000
14062,2018,10,150.0,100000
14062,2018,11,150.0,120000
14062,2018,12,160.0,60000
14632,2018,11,20.0,160000
14632,2018,12,130.0,40000
14640,2018,1,50.0,100000
14640,2018,2,140.0,80000
14640,2018,3,160.0,100000
14640,2018,4,150.0,160000
14640,2018,5,160.0,160000
14640,2018,6,150.0,200000
14640,2018,7,160.0,180000
14640,2018,8,150.0,100000
14640,2018,9,140.0,140000
14640,2018,10,150.0,160000
14640,2018,11,140.0,60000
14640,2018,12,150.0,180000
14749,2018,1,10.0,140000
14749,2018,2,130.0,160000
14749,2018,3,150.0,200000
14749,2018,4,150.0,120000
14749,2018,5,150.0,160000
14749,2018,6,150.0,160000
14749,2018,7,150.0,60000
14749,2018,8,160.0,100000
14749,2018,9,150.0,180000
14749,2018,10,160.0,200000
14749,2018,11,150.0,180000
14749,2018,12,150.0,180000
14860,2018,6,20.0,180000
14860,2018,7,100.0,180000
14860,2018,8,110.0,60000
14860,2018,9,100.0,100000
14860,2018,10,100.0,120000
14860,2018,11,90.0,40000
14860,2018,12,140.0,60000
15035,2018,8,80.0,80000
15035,2018,9,190.0,200000
15035,2018,10,180.0,40000
15035,2018,11,180.0,80000
15035,2018,12,220.0,200000
15143,2018,8,90.0,40000
15143,2018,9,130.0,140000
15143,2018,10,120.0,40000
15143,2018,11,120.0,120000
15143,2018,12,120.0,40000
15212,2018,4,20.0,40000
15212,2018,5,60.0,160000
15212,2018,6,60.0,40000
15212,2018,7,60.0,40000
15212,2018,8,60.0,100000
15212,2018,9,60.0,100000
15212,2018,10,60.0,80000
15212,2018,11,60.0,140000
15212,2018,12,60.0,40000
15232,2018,5,70.0,60000
15232,2018,6,90.0,100000
15232,2018,7,80.0,40000
15232,2018,8,90.0,80000
15232,2018,9,90.0,120000
15232,2018,10,90.0,60000
15232,2018,11,80.0,160000
15232,2018,12,100.0,40000
15425,2018,6,30.0,100000
15425,2018,7,60.0,200000
15425,2018,8,70.0,140000
15425,2018,9,70.0,180000
15425,2018,10,70.0,80000
15425,2018,11,70.0,140000
15425,2018,12,80.0,200000
15475,2018,4,20.0,60000
15475,2018,5,60.0,160000
15475,2018,6,60.0,120000
15475,2018,7,60.0,180000
15475,2018,8,60.0,40000
15475,2018,9,60.0,100000
15475,2018,10,50.0,100000
15475,2018,11,60.0,160000
15475,2018,12,60.0,80000
15499,2018,2,40.0,100000
15499,2018,3,50.0,200000
15499,2018,4,40.0,120000
15499,2018,5,50.0,80000
15499,2018,6,30.0,140000
15499,2018,7,30.0,160000
15499,2018,8,40.0,200000
15499,2018,9,30.0,80000
15499,2018,10,30.0,100000
15499,2018,11,30.0,120000
15499,2018,12,70.0,180000
15577,2018,9,0.0,140000
15577,2018,10,80.0,60000
15577,2018,11,90.0,120000
15577,2018,12,90.0,100000
15646,2018,2,20.0,140000
15646,2018,3,160.0,40000
15646,2018,4,150.0,120000
15646,2018,5,160.0,180000
15646,2018,6,150.0,100000
15646,2018,7,150.0,40000
15646,2018,8,160.0,140000
15646,2018,9,160.0,60000
15646,2018,10,150.0,80000
15646,2018,11,170.0,40000
15646,2018,12,180.0,200000
15713,2018,2,30.0,80000
15713,2018,3,30.0,60000
15713,2018,4,30.0,160000
15713,2018,5,30.0,120000
15713,2018,6,30.0,60000
15713,2018,7,40.0,80000
15713,2018,8,30.0,80000
15713,2018,9,30.0,160000
15713,2018,10,30.0,180000
15713,2018,11,30.0,100000
15713,2018,12,40.0,180000
15732,2018,11,190.0,140000
15732,2018,12,250.0,180000
15806,2018,10,100.0,160000
15806,2018,11,210.0,200000
15806,2018,12,220.0,60000
15834,2018,2,20.0,100000
15834,2018,3,230.0,40000
15834,2018,4,220.0,100000
15834,2018,5,240.0,120000
15834,2018,6,210.0,100000
15834,2018,7,210.0,200000
15834,2018,8,220.0,200000
15834,2018,9,210.0,40000
15834,2018,10,210.0,200000
15834,2018,11,210.0,120000
15834,2018,12,260.0,160000
15850,2018,2,140.0,60000
15850,2018,3,210.0,40000
15850,2018,4,200.0,100000
15850,2018,5,210.0,180000
15850,2018,6,200.0,180000
15850,2018,7,220.0,180000
15850,2018,8,210.0,140000
15850,2018,9,220.0,120000
15850,2018,10,220.0,60000
15850,2018,11,200.0,180000
15850,2018,12,210.0,80000
15896,2018,8,10.0,180000
15896,2018,9,100.0,80000
15896,2018,10,90.0,160000
15896,2018,11,80.0,120000
15896,2018,12,140.0,160000
15905,2018,10,10.0,160000
15905,2018,11,200.0,80000
15905,2018,12,210.0,40000
16019,2018,11,60.0,160000
16019,2018,12,80.0,80000
16390,2018,10,110.0,160000
16390,2018,11,150.0,160000
16390,2018,12,150.0,140000
16496,2018,3,110.0,80000
16496,2018,4,150.0,160000
16496,2018,5,150.0,200000
16496,2018,6,160.0,80000
16496,2018,7,150.0,100000
16496,2018,8,160.0,40000
16496,2018,9,150.0,40000
16496,2018,10,150.0,80000
16496,2018,11,150.0,60000
16496,2018,12,160.0,60000
16542,2018,11,50.0,180000
16542,2018,12,150.0,60000
16588,2018,1,160.0,100000
16588,2018,2,160.0,120000
16588,2018,3,180.0,200000
16588,2018,4,170.0,180000
16588,2018,5,190.0,80000
16588,2018,6,180.0,80000
16588,2018,7,180.0,80000
16588,2018,8,190.0,160000
16588,2018,9,180.0,120000
16588,2018,10,180.0,120000
16588,2018,11,190.0,100000
16588,2018,12,190.0,40000
16663,2018,6,20.0,180000
16663,2018,7,110.0,40000
16663,2018,8,120.0,40000
16663,2018,9,120.0,200000
16663,2018,10,120.0,160000
16663,2018,11,120.0,60000
16663,2018,12,120.0,40000
16700,2018,10,80.0,160000
16700,2018,11,120.0,160000
16700,2018,12,160.0,200000
16805,2018,8,100.0,80000
16805,2018,9,180.0,200000
16805,2018,10,190.0,80000
16805,2018,11,170.0,60000
16805,2018,12,190.0,100000
16915,2018,12,80.0,160000
17158,2018,11,30.0,180000
17158,2018,12,50.0,160000
17309,2018,3,60.0,40000
17309,2018,4,70.0,120000
17309,2018,5,60.0,80000
17309,2018,6,70.0,180000
17309,2018,7,60.0,180000
17309,2018,8,70.0,180000
17309,2018,9,50.0,140000
17309,2018,10,70.0,100000
17309,2018,11,60.0,40000
17309,2018,12,60.0,80000
17344,2018,8,20.0,180000
17344,2018,9,160.0,140000
17344,2018,10,160.0,40000
17344,2018,11,140.0,60000
17344,2018,12,150.0,60000
17406,2018,7,60.0,160000
17406,2018,8,160.0,60000
17406,2018,9,150.0,180000
17406,2018,10,160.0,100000
17406,2018,11,140.0,60000
17406,2018,12,200.0,40000
17644,2018,10,60.0,200000
17644,2018,11,160.0,140000
17644,2018,12,160.0,60000
17657,2018,4,60.0,100000
17657,2018,5,180.0,80000
17657,2018,6,180.0,100000
17657,2018,7,180.0,60000
17657,2018,8,190.0,120000
17657,2018,9,180.0,60000
17657,2018,10,190.0,180000
17657,2018,11,190.0,100000
17657,2018,12,180.0,60000
17776,2018,11,40.0,100000
17776,2018,12,60.0,180000
18139,2018,6,90.0,60000
