tr_id,dates,action,reward
1003923,2019-01-01,2,0.0
1018719,2019-01-01,3,96246.08
1028713,2019-01-01,3,98328.15
1030155,2019-01-01,3,96290.195
1047479,2019-01-01,2,0.0
1055428,2019-01-01,1,97184.4
1058208,2019-01-01,2,96948.42
1068266,2019-01-01,2,0.0
1076163,2019-01-01,1,0.0
1080053,2019-01-01,1,97813.63
1082913,2019-01-01,3,97216.7
1083910,2019-01-01,1,0.0
1086831,2019-01-01,1,96704.84
1090645,2019-01-01,3,0.0
1122025,2019-01-01,3,0.0
1129135,2019-01-01,3,96284.2
1135494,2019-01-01,1,0.0
1145698,2019-01-01,2,0.0
1154864,2019-01-01,3,96378.08
1170323,2019-01-01,2,98658.14
1186002,2019-01-01,3,97468.5
1193120,2019-01-01,3,0.0
1193886,2019-01-01,1,98476.21
1211245,2019-01-01,2,97950.38
1224819,2019-01-01,3,0.0
1227642,2019-01-01,3,96604.625
1242589,2019-01-01,1,96415.43
1251812,2019-01-01,1,96815.755
1256285,2019-01-01,2,0.0
1260179,2019-01-02,2,96242.885
1266867,2019-01-02,2,98013.7
1274837,2019-01-02,3,95702.015
1297378,2019-01-02,1,96966.56
1316841,2019-01-02,3,0.0
1329276,2019-01-02,3,0.0
1343777,2019-01-02,1,97909.8
1345224,2019-01-02,3,95882.88
1381493,2019-01-02,3,95768.405
1394915,2019-01-02,1,0.0
1407723,2019-01-02,2,98249.73
1416482,2019-01-02,1,97135.6
1418405,2019-01-02,3,95567.87
1425117,2019-01-02,2,0.0
1448659,2019-01-02,2,96989.44
1454043,2019-01-02,1,0.0
1456526,2019-01-02,1,98764.925
1460856,2019-01-02,1,0.0
1466706,2019-01-02,3,0.0
1476815,2019-01-02,3,98927.12
1490715,2019-01-02,1,96829.675
1521193,2019-01-02,2,0.0
1526231,2019-01-02,2,97541.805
1529726,2019-01-02,1,0.0
1545701,2019-01-02,3,97973.18
1569764,2019-01-02,1,98288.51
1585165,2019-01-02,2,0.0
1591633,2019-01-02,3,0.0
1597484,2019-01-02,3,0.0
1624216,2019-01-02,3,96897.93
1634355,2019-01-02,3,96702.835
1639508,2019-01-02,3,97171.5
1640910,2019-01-02,3,97982.27
1641573,2019-01-02,2,97680.27
1643718,2019-01-02,3,97835.04
1655465,2019-01-02,1,97801.76
1661231,2019-01-03,1,97767.9
1680629,2019-01-03,2,97220.62
1691418,2019-01-03,3,98467.355
1695531,2019-01-03,1,0.0
1700765,2019-01-03,3,98487.175
1706977,2019-01-03,3,98011.25
1720854,2019-01-03,1,98607.905
1722380,2019-01-03,1,98562.68
1731721,2019-01-03,3,97692.11
1738109,2019-01-03,2,0.0
1743242,2019-01-03,3,0.0
1743891,2019-01-03,2,98116.94
1763793,2019-01-03,3,96932.39
1794081,2019-01-03,3,95645.46
1803175,2019-01-03,2,0.0
1813414,2019-01-03,2,0.0
1849817,2019-01-03,1,96953.67
1854305,2019-01-03,2,98594.15
1861374,2019-01-04,2,97206.225
1873288,2019-01-04,3,96049.46
1888427,2019-01-04,1,96865.95
1912075,2019-01-04,1,97621.45
1927376,2019-01-04,1,98694.22
1932714,2019-01-04,3,95588.6
1942193,2019-01-04,1,96640.23
1950052,2019-01-04,1,96946.75
1965658,2019-01-04,1,0.0
1982512,2019-01-04,2,97252.36
1982981,2019-01-04,1,0.0
1989049,2019-01-04,1,95775.52
1992220,2019-01-04,2,96089.075
2007833,2019-01-04,2,95524.2
2012973,2019-01-04,2,97946.335
2031487,2019-01-04,2,0.0
2035759,2019-01-04,3,0.0
2044850,2019-01-04,3,0.0
2078190,2019-01-04,2,97879.555
2085773,2019-01-04,1,0.0
2089974,2019-01-04,2,97097.21
2125480,2019-01-04,2,98739.8
2142578,2019-01-04,3,96018.3
2144563,2019-01-04,3,98984.54
2148514,2019-01-04,2,0.0
2148962,2019-01-04,3,0.0
2170712,2019-01-04,1,0.0
2187906,2019-01-04,3,0.0
2199024,2019-01-05,2,96957.325
2224165,2019-01-05,1,96912.96
2227123,2019-01-05,1,97011.17
2228837,2019-01-05,2,96005.27
2232796,2019-01-05,3,97916.05
2236017,2019-01-05,1,97221.54
2237347,2019-01-05,2,96330.36
2240755,2019-01-05,1,96359.67
2256955,2019-01-05,2,0.0
2260810,2019-01-05,2,0.0
2268038,2019-01-05,2,0.0
2281876,2019-01-05,2,95841.15
2282124,2019-01-05,1,0.0
2295252,2019-01-05,2,95857.3
2299115,2019-01-05,2,0.0
2304390,2019-01-05,1,0.0
2314468,2019-01-05,2,98657.62
2320570,2019-01-05,1,97236.32
2322857,2019-01-05,1,0.0
2331384,2019-01-05,1,97968.8
2339354,2019-01-05,2,0.0
2349285,2019-01-05,1,97134.88
2351634,2019-01-05,2,97937.64
2359287,2019-01-05,2,97690.05
2369813,2019-01-05,2,0.0
2380696,2019-01-05,3,98268.52
2381248,2019-01-05,2,0.0
2386019,2019-01-06,2,98514.04
2425570,2019-01-06,3,98452.12
2429952,2019-01-06,2,96064.8
2469042,2019-01-06,3,0.0
2473626,2019-01-06,1,0.0
2476587,2019-01-06,3,0.0
2479224,2019-01-06,3,0.0
2485357,2019-01-06,2,0.0
2491630,2019-01-06,2,97900.76
2493839,2019-01-06,1,96721.495
2512332,2019-01-06,3,96359.1
2513597,2019-01-06,1,99000.92
