tr_id,user_id,dates,sale_price
1018719,27185,2019-01-01,96246.08
1028713,42513,2019-01-01,98328.15
1030155,33953,2019-01-01,96290.195
1055428,28434,2019-01-01,97184.4
1058208,15628,2019-01-01,96948.42
1080053,63387,2019-01-01,97813.63
1082913,30637,2019-01-01,97216.7
1086831,36863,2019-01-01,96704.84
1129135,98533,2019-01-01,96284.2
1154864,61392,2019-01-01,96378.08
1170323,98696,2019-01-01,98658.14
1186002,17795,2019-01-01,97468.5
1193886,84515,2019-01-01,98476.21
1211245,63963,2019-01-01,97950.38
1227642,24654,2019-01-01,96604.625
1242589,94158,2019-01-01,96415.43
1251812,73706,2019-01-01,96815.755
1260179,34957,2019-01-02,96242.885
1266867,78847,2019-01-02,98013.7
1274837,98696,2019-01-02,95702.015
1297378,87879,2019-01-02,96966.56
1343777,98503,2019-01-02,97909.8
1345224,36510,2019-01-02,95882.88
1381493,90012,2019-01-02,95768.405
1407723,62579,2019-01-02,98249.73
1416482,97301,2019-01-02,97135.6
1418405,51662,2019-01-02,95567.87
1448659,53683,2019-01-02,96989.44
1456526,83878,2019-01-02,98764.925
1476815,79142,2019-01-02,98927.12
1490715,47941,2019-01-02,96829.675
1526231,95355,2019-01-02,97541.805
1545701,80132,2019-01-02,97973.18
1569764,60640,2019-01-02,98288.51
1624216,29971,2019-01-02,96897.93
1634355,39356,2019-01-02,96702.835
1639508,24771,2019-01-02,97171.5
1640910,92512,2019-01-02,97982.27
1641573,73452,2019-01-02,97680.27
1643718,11875,2019-01-02,97835.04
1655465,43436,2019-01-02,97801.76
1661231,86002,2019-01-03,97767.9
1680629,74537,2019-01-03,97220.62
1691418,73687,2019-01-03,98467.355
1700765,12752,2019-01-03,98487.175
1706977,34112,2019-01-03,98011.25
1720854,87398,2019-01-03,98607.905
1722380,33789,2019-01-03,98562.68
1731721,78252,2019-01-03,97692.11
1743891,89205,2019-01-03,98116.94
1763793,85542,2019-01-03,96932.39
1794081,49796,2019-01-03,95645.46
1849817,60976,2019-01-03,96953.67
1854305,72916,2019-01-03,98594.15
1861374,48672,2019-01-04,97206.225
1873288,68982,2019-01-04,96049.46
1888427,93109,2019-01-04,96865.95
1912075,50932,2019-01-04,97621.45
1927376,80985,2019-01-04,98694.22
